epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1051.41,1.88734,1.62857,0.00449,0.66182,0.48488,0.50465,0.21599,1.67005,1.46189,0.00489,0.0044555,0.0044555,0.0044555
57,1069.63,1.78809,1.54338,0.00393,0.51477,0.47374,0.49412,0.22703,1.69993,1.47348,0.00503,0.0044456,0.0044456,0.0044456
58,1087.93,1.82902,1.56321,0.00406,0.45064,0.49074,0.41417,0.17229,1.7741,1.72496,0.00508,0.0044357,0.0044357,0.0044357
59,1105.74,1.88643,1.657,0.00418,0.3933,0.46371,0.37345,0.16022,1.69247,1.58016,0.00522,0.0044258,0.0044258,0.0044258
60,1125.54,1.80389,1.68172,0.00412,0.57154,0.3669,0.43074,0.1812,1.55103,1.59994,0.00437,0.0044159,0.0044159,0.0044159
61,1143.87,1.82434,1.48476,0.00416,0.48412,0.55247,0.44971,0.1839,1.65956,1.53526,0.00449,0.004406,0.004406,0.004406
62,1162.14,1.79387,1.50081,0.00389,0.54741,0.43808,0.43175,0.18679,1.61614,1.47336,0.00479,0.0043961,0.0043961,0.0043961
63,1180.38,1.96654,1.83206,0.00431,0.57509,0.41262,0.4437,0.2026,1.6082,1.30509,0.00475,0.0043862,0.0043862,0.0043862
64,1198.4,1.80441,1.46009,0.00397,0.63951,0.5055,0.52444,0.21653,1.65196,1.37596,0.00482,0.0043763,0.0043763,0.0043763
65,1217.64,1.80502,1.49171,0.00393,0.55495,0.46893,0.4716,0.20129,1.75719,1.29229,0.005,0.0043664,0.0043664,0.0043664
66,1236.3,1.82999,1.58107,0.00433,0.56514,0.47515,0.44799,0.18256,1.66194,1.56619,0.00459,0.0043565,0.0043565,0.0043565
67,1254.81,1.81671,1.5245,0.00439,0.58451,0.38588,0.45868,0.20007,1.74823,1.73428,0.00488,0.0043466,0.0043466,0.0043466
